user_id,age,gender,location,bio,likes_received,matches,swipes_right,swipes_left
1,25,Female,New York,Tech enthusiast. Swipe right for sarcasm.,427,75,289,382
2,35,Non-binary,Chicago,Tech enthusiast. Swipe right for sarcasm.,383,36,190,431
3,20,Female,New York,Foodie. Dog lover.,143,77,262,279
4,21,Male,New York,Love hiking and coffee.,450,73,173,394
5,25,Male,Austin,Tech enthusiast. Swipe right for sarcasm.,119,23,95,137
6,19,Male,Miami,Looking for something real.,381,91,103,365
7,19,Female,Los Angeles,Bookworm and movie buff.,204,56,298,174
8,43,Male,San Francisco,Artist. Dreamer. Thinker.,301,97,54,266
9,24,Male,Los Angeles,Gym rat. Travel addict.,54,5,76,7
10,40,Female,New York,Looking for something real.,192,72,111,108
11,38,Female,New York,Bookworm and movie buff.,493,45,230,81
12,31,Female,Chicago,Swipe right and let's start a conversation.,394,92,81,63
13,18,Female,Los Angeles,Bookworm and movie buff.,424,36,63,424
14,23,Non-binary,San Francisco,Looking for something real.,34,22,71,335
15,36,Female,Houston,Gym rat. Travel addict.,351,18,283,283
16,30,Male,Austin,Artist. Dreamer. Thinker.,187,32,31,339
17,21,Male,New York,Gym rat. Travel addict.,390,21,103,468
18,28,Non-binary,Miami,Love hiking and coffee.,127,31,141,94
19,39,Female,New York,Gym rat. Travel addict.,160,84,265,399
20,31,Male,Houston,Looking for something real.,125,10,245,497
21,21,Male,Chicago,Love hiking and coffee.,500,75,5,373
22,32,Non-binary,Los Angeles,Gym rat. Travel addict.,177,81,179,449
23,38,Male,Austin,Foodie. Dog lover.,73,54,166,291
24,30,Male,Austin,Swipe right and let's start a conversation.,273,64,274,136
25,40,Female,New York,Looking for something real.,208,43,263,490
26,25,Female,Austin,Swipe right and let's start a conversation.,442,64,22,412
27,35,Female,San Francisco,Swipe right and let's start a conversation.,206,27,275,27
28,27,Non-binary,Los Angeles,"Startup founder. Work hard, play hard.",419,36,9,400
29,36,Male,New York,"Quiet thinker, loud music.",135,65,272,391
30,35,Female,Houston,"Quiet thinker, loud music.",158,97,196,39
31,45,Female,Houston,Love hiking and coffee.,190,50,143,165
32,34,Male,Chicago,"Startup founder. Work hard, play hard.",327,40,131,256
33,38,Male,Austin,"Quiet thinker, loud music.",411,73,276,91
34,19,Non-binary,Chicago,Bookworm and movie buff.,315,90,90,319
35,35,Female,San Francisco,"Startup founder. Work hard, play hard.",462,33,162,380
36,18,Non-binary,Chicago,Foodie. Dog lover.,439,41,20,316
37,32,Non-binary,Houston,Artist. Dreamer. Thinker.,463,7,54,22
38,23,Male,San Francisco,"Startup founder. Work hard, play hard.",428,21,129,27
39,33,Non-binary,Los Angeles,Artist. Dreamer. Thinker.,132,46,10,152
40,18,Male,New York,Gym rat. Travel addict.,51,48,173,390
41,44,Non-binary,Miami,Swipe right and let's start a conversation.,139,81,41,198
42,25,Male,San Francisco,Swipe right and let's start a conversation.,47,35,253,185
43,39,Male,Miami,"Quiet thinker, loud music.",75,69,257,366
44,44,Male,Houston,"Startup founder. Work hard, play hard.",65,50,19,43
45,45,Male,Houston,Gym rat. Travel addict.,204,0,79,362
46,26,Non-binary,New York,"Quiet thinker, loud music.",28,21,162,299
47,31,Female,Miami,Bookworm and movie buff.,218,88,81,196
48,40,Female,Austin,Foodie. Dog lover.,410,41,141,194
49,22,Male,San Francisco,"Quiet thinker, loud music.",93,12,222,71
50,21,Female,San Francisco,Artist. Dreamer. Thinker.,244,76,245,498
51,21,Non-binary,Houston,Tech enthusiast. Swipe right for sarcasm.,244,89,96,316
52,37,Male,Miami,Gym rat. Travel addict.,70,23,117,454
53,26,Female,Los Angeles,Looking for something real.,186,44,8,66
54,36,Non-binary,Miami,Artist. Dreamer. Thinker.,422,3,228,263
55,37,Non-binary,New York,Gym rat. Travel addict.,120,93,265,32
56,29,Female,Austin,Artist. Dreamer. Thinker.,186,55,146,232
57,30,Male,San Francisco,Artist. Dreamer. Thinker.,288,72,210,333
58,28,Non-binary,San Francisco,Bookworm and movie buff.,323,31,292,295
59,40,Non-binary,Los Angeles,Artist. Dreamer. Thinker.,42,8,193,220
60,20,Male,New York,Tech enthusiast. Swipe right for sarcasm.,393,21,119,163
61,35,Female,Los Angeles,"Startup founder. Work hard, play hard.",297,1,99,481
62,26,Non-binary,Chicago,Foodie. Dog lover.,432,74,185,378
63,25,Female,Los Angeles,Bookworm and movie buff.,427,94,230,291
64,25,Non-binary,Miami,Looking for something real.,80,26,29,360
65,32,Female,Houston,Bookworm and movie buff.,346,48,76,3
66,32,Female,Houston,Gym rat. Travel addict.,185,65,72,178
67,37,Non-binary,Austin,"Quiet thinker, loud music.",132,43,242,392
68,19,Non-binary,Los Angeles,Swipe right and let's start a conversation.,422,22,85,128
69,30,Female,Chicago,Swipe right and let's start a conversation.,376,82,57,104
70,19,Male,San Francisco,Artist. Dreamer. Thinker.,277,95,138,383
71,18,Non-binary,Austin,Love hiking and coffee.,236,87,157,461
72,43,Male,New York,Looking for something real.,338,43,183,75
73,18,Non-binary,New York,Artist. Dreamer. Thinker.,229,13,36,427
74,18,Female,Austin,Artist. Dreamer. Thinker.,189,67,183,209
75,26,Non-binary,Houston,"Quiet thinker, loud music.",335,64,52,301
76,38,Male,Los Angeles,"Quiet thinker, loud music.",405,19,288,182
77,40,Female,Los Angeles,Foodie. Dog lover.,389,92,77,257
78,30,Female,Chicago,"Startup founder. Work hard, play hard.",247,9,202,195
79,29,Male,Chicago,"Quiet thinker, loud music.",74,55,295,384
80,20,Male,Houston,Foodie. Dog lover.,298,89,30,496
81,20,Male,Houston,Bookworm and movie buff.,403,17,109,318
82,34,Female,Chicago,Swipe right and let's start a conversation.,0,0,274,340
83,20,Male,New York,Foodie. Dog lover.,376,33,50,149
84,40,Male,Miami,"Startup founder. Work hard, play hard.",395,22,48,460
85,40,Non-binary,Miami,Bookworm and movie buff.,496,38,188,484
86,26,Female,New York,Foodie. Dog lover.,24,3,21,387
87,19,Non-binary,New York,"Quiet thinker, loud music.",222,24,224,194
88,21,Female,Chicago,Love hiking and coffee.,127,15,138,223
89,24,Male,Chicago,"Quiet thinker, loud music.",33,28,110,18
90,20,Female,Chicago,Love hiking and coffee.,117,87,28,260
91,19,Female,New York,"Startup founder. Work hard, play hard.",181,54,136,26
92,34,Male,Austin,Foodie. Dog lover.,193,39,155,294
93,44,Male,Chicago,Love hiking and coffee.,199,65,82,494
94,33,Female,San Francisco,Love hiking and coffee.,143,89,16,328
95,36,Male,Miami,"Quiet thinker, loud music.",457,45,259,26
96,28,Male,San Francisco,Artist. Dreamer. Thinker.,252,18,210,189
97,26,Female,San Francisco,Bookworm and movie buff.,418,21,213,0
98,44,Female,Los Angeles,Swipe right and let's start a conversation.,95,52,77,204
99,30,Male,Los Angeles,Gym rat. Travel addict.,489,33,277,64
100,22,Non-binary,Los Angeles,Love hiking and coffee.,344,16,230,443
